method,input_size,num_threads,run_id,execution_time_ms,kernel_time_ms,data_transfer_time,data_transferred_bytes,total_operations,achievable_performance
serial,100000,1,7,8.005551,0,0,0,3400000, 424705307.604686
threads,100000,20,7,2.964236,0,0,0,3400000, 1147007188.361520
openmp,100000,20,7,1.279808,0,0,0,3400000, 2656648497.274591
cuda,100000,256,7,2.333985,2.216681,0.117038,800000,3400000, 1456736011.585336
serial,1000000,1,7,95.130626,0,0,0,40000000, 420474474.750119
threads,1000000,20,7,12.714201,0,0,0,40000000, 3146088377.869754
openmp,1000000,20,7,11.159228,0,0,0,40000000, 3584477349.149959
cuda,1000000,256,7,23.996551,23.261486,0.733951,8000000,40000000, 1666906214.980644
serial,10000,1,8,0.665004,0,0,0,280000, 421050098.946773
threads,10000,20,8,0.622413,0,0,0,280000, 449862069.076321
openmp,10000,20,8,1.071329,0,0,0,280000, 261357622.168354
cuda,10000,256,8,0.307929,0.278779,0.028976,80000,280000, 909300520.574548
serial,100000,1,8,8.119324,0,0,0,3400000, 418754073.614995
threads,100000,20,8,3.067458,0,0,0,3400000, 1108409634.296541
openmp,100000,20,8,0.957047,0,0,0,3400000, 3552594595.667716
cuda,100000,256,8,2.325571,2.214684,0.110704,800000,3400000, 1462006535.169212
serial,1000000,1,8,95.642060,0,0,0,40000000, 418226039.882453
threads,1000000,20,8,11.674616,0,0,0,40000000, 3426236888.647986
openmp,1000000,20,8,9.446341,0,0,0,40000000, 4234443791.516737
cuda,1000000,256,8,23.948296,23.237471,0.709552,8000000,40000000, 1670264974.176033
serial,10000,1,9,0.620645,0,0,0,280000, 451143568.384503
threads,10000,20,9,0.601883,0,0,0,280000, 465206692.995150
openmp,10000,20,9,0.671945,0,0,0,280000, 416700771.640536
cuda,10000,256,9,0.294482,0.268961,0.025395,80000,280000, 950822121.555817
serial,100000,1,9,7.325361,0,0,0,3400000, 464140948.138938
threads,100000,20,9,2.642372,0,0,0,3400000, 1286722687.040280
openmp,100000,20,9,0.990425,0,0,0,3400000, 3432869727.642174
cuda,100000,256,9,2.401151,2.224664,0.176026,800000,3400000, 1415987582.621834
serial,1000000,1,9,93.611853,0,0,0,40000000, 427296316.845688
threads,1000000,20,9,11.257345,0,0,0,40000000, 3553235687.455612
openmp,1000000,20,9,13.294570,0,0,0,40000000, 3008747180.239752
cuda,1000000,256,9,23.870127,23.153608,0.715988,8000000,40000000, 1675734695.504553
serial,10000,1,10,0.679851,0,0,0,280000, 411854950.570051
threads,10000,20,10,0.662830,0,0,0,280000, 422431090.928292
openmp,10000,20,10,0.713296,0,0,0,280000, 392543908.840089
cuda,10000,256,10,0.289628,0.261567,0.027899,80000,280000, 966757357.714033
serial,100000,1,10,8.121627,0,0,0,3400000, 418635330.088417
threads,100000,20,10,2.527394,0,0,0,3400000, 1345259187.922421
openmp,100000,20,10,0.937016,0,0,0,3400000, 3628539960.897146
cuda,100000,256,10,2.327672,2.218289,0.109174,800000,3400000, 1460686900.903563
serial,1000000,1,10,95.914126,0,0,0,40000000, 417039717.382192
threads,1000000,20,10,11.203717,0,0,0,40000000, 3570243696.801696
openmp,1000000,20,10,10.398874,0,0,0,40000000, 3846570311.362557
cuda,1000000,256,10,23.987405,23.283061,0.703068,8000000,40000000, 1667541778.695945
